AccessFloor1,AccessFloor2,AccessFloor3,Time
6,,,Wed Nov 12 16:11:25 2025
,,,
,6,,Wed Nov 12 16:11:33 2025
,,,
,,6,Wed Nov 12 16:11:38 2025
,,,
,,1,Wed Nov 12 16:11:59 2025
,,,
,4,,Wed Nov 12 16:17:45 2025
,,,
,,10,Wed Nov 12 16:18:46 2025
,,,
,,1,Wed Nov 12 16:22:41 2025
,,8,Fri Nov 21 16:07:17 2025
,,,
,,1,Sat Nov 22 10:28:16 2025
,,,
,1,,Sat Nov 22 10:34:19 2025
,,,
1,,,Sat Nov 22 10:35:13 2025
,,,
,,1,Sat Nov 22 10:35:22 2025
,,,
1,,,Sat Nov 22 10:57:52 2025
,,4,Sat Nov 22 11:13:04 2025
,,,
,4,,Sat Nov 22 11:16:38 2025
,,,
,4,,Sat Nov 22 11:17:13 2025
,,,
,4,,Sat Nov 22 11:18:06 2025
,,,
1,,,Sat Nov 22 11:18:30 2025
,,,
8,,,Sat Nov 22 11:20:31 2025
,,,
,4,,Sat Nov 22 13:25:06 2025
,,,
,,2,Sat Nov 22 13:25:30 2025
,,1,Sat Nov 22 14:35:35 2025
,1,,Sat Nov 22 14:39:13 2025

,,4,Sat Nov 22 14:39:47 2025

